bestellnummer;bestelldatum;artikelnummer;artikel;kategorie;menge;einzelpreis_eur;gesamtpreis_eur;lieferant;lieferdatum;status
B-2026-0202;11.03.2026;A2002;Käsebrötchen;Backwaren;20;0,82;16,40;Bäckerei Morgenrot;12.03.2026;geliefert
B-2026-0203;13.02.2026;A2002;Käsebrötchen;Backwaren;5;0,82;4,10;Bäckerei Morgenrot;17.02.2026;geliefert
B-2026-0204;21.01.2026;A4002;Kugelschreiber blau;Schreibwaren;60;0,22;13,20;Bürobedarf Elbtal;;offen
B-2026-0205;14.01.2026;A4002;Kugelschreiber blau;Schreibwaren;20;0,22;4,40;Bürobedarf Elbtal;16.01.2026;geliefert
B-2026-0206;08.06.2026;A4002;Kugelschreiber blau;Schreibwaren;20;0,22;4,40;Bürobedarf Elbtal;09.06.2026;geliefert
B-2026-0207;08.03.2026;A3002;Banane Fairtrade;Obst;20;0,34;6,80;Frischehof Meißen;;offen
B-2026-0208;05.04.2026;A2003;Laugenstange;Backwaren;24;0,44;10,56;Bäckerei Morgenrot;06.04.2026;geliefert
B-2026-0209;12.04.2026;A1001;Mineralwasser 0,5 l;Getränke;5;0,42;2,10;SachsenGetränke GmbH;15.04.2026;geliefert
B-2026-0210;17.01.2026;A2003;Laugenstange;Backwaren;15;0,44;6,60;Bäckerei Morgenrot;19.01.2026;geliefert
B-2026-0211;08.01.2026;A3002;Banane Fairtrade;Obst;10;0,34;3,40;Frischehof Meißen;09.01.2026;geliefert
B-2026-0212;18.05.2026;A2002;Käsebrötchen;Backwaren;12;0,82;9,84;Bäckerei Morgenrot;25.05.2026;teilgeliefert
B-2026-0213;23.04.2026;A3003;Birne regional;Obst;100;0,36;36,00;Frischehof Meißen;27.04.2026;geliefert
B-2026-0214;17.02.2026;A4001;Collegeblock A4 kariert;Schreibwaren;20;1,15;23,00;Bürobedarf Elbtal;24.02.2026;geliefert
B-2026-0215;19.02.2026;A1003;Orangensaft 0,33 l;Getränke;40;0,64;25,60;SachsenGetränke GmbH;21.02.2026;geliefert
B-2026-0216;14.02.2026;A2002;Käsebrötchen;Backwaren;12;0,82;9,84;Bäckerei Morgenrot;16.02.2026;geliefert
B-2026-0217;25.04.2026;A2003;Laugenstange;Backwaren;50;0,44;22,00;Bäckerei Morgenrot;27.04.2026;geliefert
B-2026-0218;28.05.2026;A3003;Birne regional;Obst;24;0,36;8,64;Frischehof Meißen;01.06.2026;geliefert
B-2026-0219;17.05.2026;A2002;Käsebrötchen;Backwaren;100;0,82;82,00;Bäckerei Morgenrot;22.05.2026;geliefert
B-2026-0220;27.01.2026;A3003;Birne regional;Obst;15;0,36;5,40;Frischehof Meißen;29.01.2026;geliefert
